Year,National Population,Population Change,Average Annual Percent Change,x,y
1999,272690813,2442810,0.9,1999,272690813
1998,270248003,2464396,0.92,1998,270248003
1997,267783607,2555035,0.96,1997,267783607
1996,265228572,2425296,0.92,1996,265228572
1995,262803276,2476255,0.95,1995,262803276
1994,260327021,2544413,0.99,1994,260327021
1993,257782608,2752909,1.08,1993,257782608
1992,255029699,2876607,1.14,1992,255029699
1991,252153092,2688696,1.08,1991,252153092
1990,249464396,2645166,1.07,1990,249464396
1989,246819230,2320248,0.94,1989,246819230
1988,244498982,2210064,0.91,1988,244498982
1987,242288918,2156031,0.89,1987,242288918
1986,240132887,2209092,0.92,1986,240132887
1985,237923795,2098893,0.89,1985,237923795
1984,235824902,2032908,0.87,1984,235824902
1983,233791994,2127536,0.91,1983,233791994
1982,231664458,2198744,0.95,1982,231664458
1981,229465714,2241033,0.98,1981,229465714
1980,227224681,2169194,0.96,1980,227224681
1979,225055487,2470942,1.1,1979,225055487
1978,222584545,2345120,1.06,1978,222584545
1977,220239425,2204261,1.01,1977,220239425
1976,218035164,2061965,0.95,1976,218035164
1975,215973199,2119271,0.99,1975,215973199
1974,213853928,1945140,0.91,1974,213853928
1973,211908788,2012767,0.95,1973,211908788
1972,209896021,2235344,1.07,1972,209896021
1971,207660677,2608503,1.26,1971,207660677
1970,205052174,2375228,1.17,1970,205052174
1969,202676946,1970894,0.98,1969,202676946
1968,200706052,1993996,1.0,1968,200706052
1967,198712056,2151718,1.09,1967,198712056
1966,196560338,2257375,1.16,1966,196560338
1965,194302963,2414172,1.25,1965,194302963
1964,191888791,2646993,1.39,1964,191888791
1963,189241798,2704061,1.44,1963,189241798
1962,186537737,2846256,1.54,1962,186537737
1961,183691481,3020323,1.66,1961,183691481
1960,180671158,2841530,1.59,1960,180671158
1959,177829628,2947724,1.67,1959,177829628
1958,174881904,2897774,1.67,1958,174881904
1957,171984130,3081099,1.81,1957,171984130
1956,168903031,2971829,1.78,1956,168903031
1955,165931202,2905348,1.77,1955,165931202
1954,163025854,2841662,1.76,1954,163025854
1953,160184192,2631452,1.66,1953,160184192
1952,157552740,2674851,1.71,1952,157552740
1951,154877889,2606472,1.7,1951,154877889
1950,152271417,3083287,2.05,1950,152271417
1949,149188130,2556828,1.73,1949,149188130
1948,146631302,2505231,1.72,1948,146631302
1947,144126071,2737505,1.92,1947,144126071
1946,141388566,1460401,1.04,1946,141388566
1945,139928165,1530820,1.1,1945,139928165
1944,138397345,1657992,1.21,1944,138397345
1943,136739353,1879800,1.38,1943,136739353
1942,134859553,1457082,1.09,1942,134859553
1941,133402471,1280025,0.96,1941,133402471
1940,132122446,1242728,0.95,1940,132122446
1939,130879718,1054779,0.81,1939,130879718
1938,129824939,1000110,0.77,1938,129824939
1937,128824829,771649,0.6,1937,128824829
1936,128053180,802948,0.63,1936,128053180
1935,127250232,876459,0.69,1935,127250232
1934,126373773,795010,0.63,1934,126373773
1933,125578763,738292,0.59,1933,125578763
1932,124840471,800823,0.64,1932,124840471
1931,124039648,962907,0.78,1931,124039648
1930,123076741,1309741,1.07,1930,123076741
1929,121767000,1258000,1.04,1929,121767000
1928,120509000,1474000,1.23,1928,120509000
1927,119035000,1638000,1.39,1927,119035000
1926,117397000,1568000,1.34,1926,117397000
1925,115829000,1720000,1.5,1925,115829000
1924,114109000,2162000,1.91,1924,114109000
1923,111947000,1898000,1.71,1923,111947000
1922,110049000,1511000,1.38,1922,110049000
1921,108538000,2077000,1.93,1921,108538000
1920,106461000,1947000,1.85,1920,106461000
1919,104514000,1306000,1.26,1919,104514000
1918,103208000,-60000,-0.06,1918,103208000
1917,103268000,1307000,1.27,1917,103268000
1916,101961000,1415000,1.4,1916,101961000
1915,100546000,1435000,1.44,1915,100546000
1914,99111000,1886000,1.92,1914,99111000
1913,97225000,1890000,1.96,1913,97225000
1912,95335000,1472000,1.56,1912,95335000
1911,93863000,1456000,1.56,1911,93863000
1910,92407000,1917000,2.1,1910,92407000
1909,90490000,1780000,1.99,1909,90490000
1908,88710000,1702000,1.94,1908,88710000
1907,87008000,1558000,1.81,1907,87008000
1906,85450000,1628000,1.92,1906,85450000
1905,83822000,1656000,2.0,1905,83822000
1904,82166000,1534000,1.88,1904,82166000
1903,80632000,1469000,1.84,1903,80632000
1902,79163000,1579000,2.01,1902,79163000
1901,77584000,1490000,1.94,1901,77584000
