Home,Visitor,Visitor_Score,Home_Score
Colorado St.,Oregon St.,27,58
Massachusetts,Hawaii,38,35
San Jose St.,South Florida,42,22
Stanford,Rice,7,62
Alabama,Florida St.,7,24
Arizona St.,New Mexico St.,31,37
Auburn,Georgia Southern,7,41
Boise St.,Troy St.,13,24
Central Florida,Florida Intl.,17,61
Clemson,Kent,3,56
Coastal Carolina,Massachusetts,28,38
Colorado,Colorado St.,3,17
Eastern Mich.,Charlotte,7,24
Florida,Michigan,33,17
Florida Atlantic,Navy,42,19
Georgia,Appalachian St.,10,31
Georgia Tech,Tennessee,42,41
Illinois,Ball St.,21,24
Indiana,Ohio St.,49,21
Iowa,Wyoming,3,24
LSU,BYU,0,27
Marshall,Miami (Ohio),26,31
Memphis,Louisiana-Monroe,29,37
Michigan St.,Bowling Green,10,35
Middle Tenn.,Vanderbilt,28,6
Minnesota,Buffalo,7,17
Mississippi,South Alabama,27,47
NC St.,South Carolina,35,28
Nebraska,Arkansas St.,36,43
North Carolina,California,35,30
Northern Ill.,Boston College,23,20
Northwestern,Nevada,20,31
Notre Dame,Temple,16,49
Oklahoma,UTEP,7,56
Oklahoma St.,Tulsa,24,59
Penn St.,Akron,0,52
Purdue,Louisville,35,28
Rutgers,Washington,30,14
Southern Miss.,Kentucky,24,17
Texas,Maryland,51,41
UCLA,Texas A&M,44,45
USC,Western Mich.,31,49
Virginia Tech,West Va.,24,31
Wisconsin,Utah St.,10,59
Alabama,Fresno St.,10,41
Arizona,Houston,19,16
Arizona St.,San Diego St.,30,20
Arkansas,TCU,28,7
Army,Buffalo,17,21
BYU,Utah,19,13
Ball St.,UAB,31,51
Baylor,Texas-San Antonio,17,10
Boston College,Wake Forest,34,10
Central Florida,Memphis,0,0
Clemson,Auburn,6,14
Colorado,Texas St.,3,37
Connecticut,South Florida,0,0
Duke,Northwestern,17,41
Florida St.,Louisiana-Monroe,0,0
Idaho,UNLV,44,16
Illinois,Western Kentucky,7,20
Iowa St.,Iowa,44,41
Kansas,Central Mich.,45,27
Kansas St.,Charlotte,7,55
Louisiana Tech,Mississippi St.,57,21
Massachusetts,Old Dominion,17,7
Michigan,Cincinnati,14,36
Michigan St.,Western Mich.,14,28
Missouri,South Carolina,31,13
NC St.,Marshall,20,37
Navy,Tulane,21,23
Nevada,Toledo,37,24
New Mexico,New Mexico St.,30,28
North Carolina,Louisville,47,35
Notre Dame,Georgia,20,19
Ohio St.,Oklahoma,31,16
Oregon,Nebraska,35,42
Oregon St.,Minnesota,48,14
Penn St.,Pittsburgh,14,33
Purdue,Ohio,21,44
Rutgers,Eastern Mich.,16,13
SMU,North Texas,32,54
South Alabama,Oklahoma St.,44,7
Syracuse,Middle Tenn.,30,23
Texas,San Jose St.,0,56
